date,open,high,low,close,adj_close,volume,source
2023-05-18,1.17,1.17,1.1279,1.1416,1.1416,212408.9,coinbase-exchange
2023-05-19,1.1423,1.1589,1.1184,1.1312,1.1312,204380.6,coinbase-exchange
2023-05-20,1.132,1.1348,1.1117,1.1249,1.1249,154833.5,coinbase-exchange
2023-05-21,1.1239,1.1524,1.0577,1.0748,1.0748,215174.4,coinbase-exchange
2023-05-22,1.0737,1.078,1.0362,1.0499,1.0499,228419.2,coinbase-exchange
2023-05-23,1.051,1.1151,1.0258,1.0536,1.0536,442144.7,coinbase-exchange
2023-05-24,1.0539,1.0539,0.9173,0.9803,0.9803,583155.2,coinbase-exchange
2023-05-25,0.9826,1.0103,0.9387,0.982,0.982,195540.6,coinbase-exchange
2023-05-26,0.9834,1.0095,0.9653,0.9909,0.9909,199666.8,coinbase-exchange
2023-05-27,0.9908,1.0159,0.9838,1.0001,1.0001,143889.0,coinbase-exchange
2023-05-28,0.997,1.0715,0.994,1.0623,1.0623,508247.0,coinbase-exchange
2023-05-29,1.0636,1.0998,1.0255,1.0407,1.0407,1271114.4,coinbase-exchange
2023-05-30,1.0443,1.0632,0.9989,1.0019,1.0019,1127964.1,coinbase-exchange
2023-05-31,1.0011,1.01,0.945,0.9741,0.9741,671833.9,coinbase-exchange
2023-06-01,0.9754,0.9794,0.9407,0.9467,0.9467,343504.9,coinbase-exchange
2023-06-02,0.944,0.9619,0.9075,0.9421,0.9421,984218.5,coinbase-exchange
2023-06-03,0.9408,0.9504,0.9092,0.9341,0.9341,312451.0,coinbase-exchange
2023-06-04,0.9307,0.9777,0.9278,0.9605,0.9605,337861.5,coinbase-exchange
2023-06-05,0.9601,0.9697,0.7509,0.8184,0.8184,1906340.6,coinbase-exchange
2023-06-06,0.8179,0.8494,0.7559,0.8317,0.8317,1212224.0,coinbase-exchange
2023-06-07,0.8276,0.8291,0.735,0.7576,0.7576,675500.8,coinbase-exchange
2023-06-08,0.7575,0.7933,0.7159,0.7304,0.7304,854483.7,coinbase-exchange
2023-06-09,0.7292,0.763,0.7118,0.7389,0.7389,609803.2,coinbase-exchange
2023-06-10,0.7396,0.7404,0.51,0.6104,0.6104,2263340.5,coinbase-exchange
2023-06-11,0.6121,0.6244,0.5879,0.605,0.605,856487.8,coinbase-exchange
2023-06-12,0.6057,0.6885,0.57,0.6622,0.6622,1168800.1,coinbase-exchange
2023-06-13,0.6625,0.7299,0.6619,0.6979,0.6979,2029534.5,coinbase-exchange
2023-06-14,0.6977,0.7115,0.6297,0.6503,0.6503,1058621.5,coinbase-exchange
2023-06-15,0.6489,0.6586,0.6187,0.6482,0.6482,568187.6,coinbase-exchange
2023-06-16,0.6464,0.7271,0.6237,0.7075,0.7075,1186303.6,coinbase-exchange
2023-06-17,0.7055,0.7796,0.7049,0.7504,0.7504,2129107.9,coinbase-exchange
2023-06-18,0.751,0.7954,0.714,0.7177,0.7177,857639.9,coinbase-exchange
2023-06-19,0.7218,0.7924,0.7099,0.7844,0.7844,869913.2,coinbase-exchange
2023-06-20,0.7828,0.8279,0.75,0.8183,0.8183,2236734.1,coinbase-exchange
2023-06-21,0.8167,0.85,0.7694,0.8307,0.8307,2880017.4,coinbase-exchange
2023-06-22,0.8309,0.8907,0.7925,0.8038,0.8038,2389142.4,coinbase-exchange
2023-06-23,0.8087,0.8349,0.7767,0.7986,0.7986,1959323.4,coinbase-exchange
2023-06-24,0.798,0.798,0.7263,0.7535,0.7535,1038801.9,coinbase-exchange
2023-06-25,0.7549,0.78,0.7411,0.745,0.745,736285.1,coinbase-exchange
2023-06-26,0.743,0.7588,0.7124,0.7255,0.7255,538637.2,coinbase-exchange
2023-06-27,0.7246,0.7569,0.7023,0.7213,0.7213,1073733.6,coinbase-exchange
2023-06-28,0.7196,0.7196,0.6377,0.6638,0.6638,1142115.4,coinbase-exchange
2023-06-29,0.6633,0.7283,0.6609,0.6798,0.6798,2291090.4,coinbase-exchange
