date,open,high,low,close,adj_close,volume,source,mvrv,market_cap_usd,realized_cap_usd
2010-07-18,0.08584,0.08584,0.08584,0.08584,0.08584,5.0919941,coinmetrics-community,146.0383322,295959.152,
2010-07-19,0.0808,0.0808,0.0808,0.0808,0.0808,49.6613,coinmetrics-community,62.56512971,279285.2,
2010-07-20,0.0747357288135593,0.0747357288135593,0.0747357288135593,0.0747357288135593,0.0747357288135593,20.58952,coinmetrics-community,45.10663005,259000.40498983042,
2010-07-21,0.0791928626534191,0.0791928626534191,0.0791928626534191,0.0791928626534191,0.0791928626534191,42.2622,coinmetrics-community,38.35756046,275266.47129701945,
2010-07-22,0.0584697603740503,0.0584697603740503,0.0584697603740503,0.0584697603740503,0.0584697603740503,129.78428,coinmetrics-community,25.1323482,203749.57397545307,
2010-07-23,0.0605928696668615,0.0605928696668615,0.0605928696668615,0.0605928696668615,0.0605928696668615,141.0650511,coinmetrics-community,23.1909876,211735.72376388081,
2010-07-24,0.05454,0.05454,0.05454,0.05454,0.05454,26.7277095,coinmetrics-community,17.07191365,191099.979,
2010-07-25,0.050540618351841,0.050540618351841,0.050540618351841,0.050540618351841,0.050540618351841,85.062975,coinmetrics-community,14.29480012,177670.48975406185,
2010-07-26,0.056,0.056,0.056,0.056,0.056,46.907,coinmetrics-community,12.57111018,197542.8,
2010-07-27,0.058622016364699,0.058622016364699,0.058622016364699,0.058622016364699,0.058622016364699,196.91835,coinmetrics-community,12.41061061,207278.65656312095,
2010-07-28,0.0589110987726476,0.0589110987726476,0.0589110987726476,0.0589110987726476,0.0589110987726476,255.759194,coinmetrics-community,11.86773641,208769.15183050858,
2010-07-29,0.0699,0.0699,0.0699,0.0699,0.0699,528.3183128,coinmetrics-community,13.54121185,248340.72,
2010-07-30,0.064657381648159,0.064657381648159,0.064657381648159,0.064657381648159,0.064657381648159,198.5299149,coinmetrics-community,12.03290217,230303.12769257755,
2010-07-31,0.0675457989479836,0.0675457989479836,0.0675457989479836,0.0675457989479836,0.0675457989479836,243.898458,coinmetrics-community,12.05286591,241276.97113214483,
2010-08-01,0.0611,0.0611,0.0611,0.0611,0.0611,162.6451925,coinmetrics-community,10.44892297,218982.4,
2010-08-02,0.06,0.06,0.06,0.06,0.06,221.20058,coinmetrics-community,9.9762043,215766.0,
2010-08-03,0.0600121507890123,0.0600121507890123,0.0600121507890123,0.0600121507890123,0.0600121507890123,606.0456913,coinmetrics-community,9.60461264,216490.83336382243,
2010-08-04,0.0570157802454705,0.0570157802454705,0.0570157802454705,0.0570157802454705,0.0570157802454705,210.765111,coinmetrics-community,8.82883787,206374.318176505,
2010-08-05,0.061,0.061,0.061,0.061,0.061,303.609091,coinmetrics-community,9.19506028,221460.5,
2010-08-06,0.0616713150204559,0.0616713150204559,0.0616713150204559,0.0616713150204559,0.0616713150204559,85.908,coinmetrics-community,9.02581206,224350.9933471655,
2010-08-07,0.0590039450613676,0.0590039450613676,0.0590039450613676,0.0590039450613676,0.0590039450613676,157.3408,coinmetrics-community,8.42875731,215104.78211572173,
2010-08-08,0.0609,0.0609,0.0609,0.0609,0.0609,132.5954,coinmetrics-community,8.47702357,222622.995,
2010-08-09,0.0704,0.0704,0.0704,0.0704,0.0704,886.9327103,coinmetrics-community,9.28085443,258019.52,
2010-08-10,0.0693387288135593,0.0693387288135593,0.0693387288135593,0.0693387288135593,0.0693387288135593,88.8736329,coinmetrics-community,8.88387323,254792.092898305,
2010-08-11,0.067,0.067,0.067,0.067,0.067,1015.6416825,coinmetrics-community,8.33793184,246978.75,
2010-08-12,0.07,0.07,0.07,0.07,0.07,134.4872288,coinmetrics-community,8.49787609,258797.0,
2010-08-13,0.0645,0.0645,0.0645,0.0645,0.0645,233.8004368,coinmetrics-community,7.56762836,239156.325,
2010-08-14,0.0669964336645237,0.0669964336645237,0.0669964336645237,0.0669964336645237,0.0669964336645237,295.3084789,coinmetrics-community,7.65189676,249354.02645599077,
2010-08-15,0.0651179322033898,0.0651179322033898,0.0651179322033898,0.0651179322033898,0.0651179322033898,294.94926945,coinmetrics-community,7.26649664,243036.40246610157,
2010-08-16,0.0655,0.0655,0.0655,0.0655,0.0655,696.80254899,coinmetrics-community,7.13837504,244943.8,
2010-08-17,0.07,0.07,0.07,0.07,0.07,915.0003158,coinmetrics-community,7.50985867,262223.5,
2010-08-18,0.068,0.068,0.068,0.068,0.068,203.82833613,coinmetrics-community,7.14796434,255183.6,
2010-08-19,0.0667,0.0667,0.0667,0.0667,0.0667,50.0425085,coinmetrics-community,6.93168437,250755.315,
2010-08-20,0.0655,0.0655,0.0655,0.0655,0.0655,276.4108105,coinmetrics-community,6.69412905,246876.05,
2010-08-21,0.0664,0.0664,0.0664,0.0664,0.0664,688.5147954,coinmetrics-community,6.61775626,250842.6,
2010-08-22,0.0659289888953828,0.0659289888953828,0.0659289888953828,0.0659289888953828,0.0659289888953828,1183.64149298,coinmetrics-community,6.41568722,249762.08508182343,
2010-08-23,0.06491,0.06491,0.06491,0.06491,0.06491,281.877223,coinmetrics-community,6.22495622,246593.09,
2010-08-24,0.065,0.065,0.065,0.065,0.065,444.65573957,coinmetrics-community,6.13247009,247633.75,
2010-08-25,0.0648,0.0648,0.0648,0.0648,0.0648,278.8612816,coinmetrics-community,6.02386076,247571.64,
2010-08-26,0.0640751139684395,0.0640751139684395,0.0640751139684395,0.0640751139684395,0.0640751139684395,251.563028,coinmetrics-community,5.87469011,245474.96536879014,
2010-08-27,0.065,0.065,0.065,0.065,0.065,583.708613,coinmetrics-community,5.87209239,249574.0,
2010-08-28,0.0646,0.0646,0.0646,0.0646,0.0646,399.4527639,coinmetrics-community,5.77497614,248587.26,
2010-08-29,0.064,0.064,0.064,0.064,0.064,204.8752337,coinmetrics-community,5.66272908,246796.8,
2010-08-30,0.06497,0.06497,0.06497,0.06497,0.06497,2134.99651286,coinmetrics-community,5.69050244,251021.3405,
2010-08-31,0.06,0.06,0.06,0.06,0.06,933.22890492,coinmetrics-community,5.19159819,232371.0,
2010-09-01,0.0620248275862069,0.0620248275862069,0.0620248275862069,0.0620248275862069,0.0620248275862069,436.730099,coinmetrics-community,5.31891315,240699.7484137931,
2010-09-02,0.0634,0.0634,0.0634,0.0634,0.0634,498.9765628,coinmetrics-community,5.38522542,246530.9,
2010-09-03,0.06085,0.06085,0.06085,0.06085,0.06085,54.61025,coinmetrics-community,5.12179597,237114.195,
2010-09-04,0.062178275862069,0.062178275862069,0.062178275862069,0.062178275862069,0.062178275862069,202.26638,coinmetrics-community,5.18235949,242852.800948276,
2010-09-05,0.06165,0.06165,0.06165,0.06165,0.06165,527.96945246,coinmetrics-community,5.06897347,241298.1,
2010-09-06,0.0616,0.0616,0.0616,0.0616,0.0616,56.128,coinmetrics-community,5.03207272,241589.04,
2010-09-07,0.0612391180596142,0.0612391180596142,0.0612391180596142,0.0612391180596142,0.0612391180596142,212.35224479,coinmetrics-community,4.94816313,240663.61006247785,
2010-09-08,0.061,0.061,0.061,0.061,0.061,143.36492,coinmetrics-community,4.88836125,240227.15,
2010-09-09,0.0611149707773232,0.0611149707773232,0.0611149707773232,0.0611149707773232,0.0611149707773232,107.6759279,coinmetrics-community,4.79545778,241092.4482194623,
2010-09-10,0.0610115242548218,0.0610115242548218,0.0610115242548218,0.0610115242548218,0.0610115242548218,301.79614516,coinmetrics-community,4.74669508,241224.3140225017,
2010-09-11,0.0636208649912332,0.0636208649912332,0.0636208649912332,0.0636208649912332,0.0636208649912332,491.192371,coinmetrics-community,4.91061134,252049.96187901814,
2010-09-12,0.0615,0.0615,0.0615,0.0615,0.0615,48.98673581,coinmetrics-community,4.69699949,244191.9,
2010-09-13,0.06218,0.06218,0.06218,0.06218,0.06218,632.19595537,coinmetrics-community,4.70641545,247423.547,
2010-09-14,0.06199,0.06199,0.06199,0.06199,0.06199,876.75528827,coinmetrics-community,4.64512859,247296.707,
2010-09-15,0.0604,0.0604,0.0604,0.0604,0.0604,223.27125883,coinmetrics-community,4.45428881,241464.1,
2010-09-16,0.0619,0.0619,0.0619,0.0619,0.0619,45.1686,coinmetrics-community,4.47633904,248138.53,
2010-09-17,0.0600005260081823,0.0600005260081823,0.0600005260081823,0.0600005260081823,0.0600005260081823,438.94275418,coinmetrics-community,4.19274776,241148.11407948547,
2010-09-18,0.061,0.061,0.061,0.061,0.061,427.75509344,coinmetrics-community,4.22048014,245887.95,
2010-09-19,0.0627,0.0627,0.0627,0.0627,0.0627,797.36052362,coinmetrics-community,4.29534109,253395.78,
2010-09-20,0.0621017358270018,0.0621017358270018,0.0621017358270018,0.0621017358270018,0.0621017358270018,891.1876315,coinmetrics-community,4.22043399,251608.28778988915,
2010-09-21,0.06265,0.06265,0.06265,0.06265,0.06265,359.8172192,coinmetrics-community,4.22602175,254368.3975,
2010-09-22,0.061881870251315,0.061881870251315,0.061881870251315,0.061881870251315,0.061881870251315,717.32508,coinmetrics-community,4.14162414,251788.04777206303,
2010-09-23,0.062153512565751,0.062153512565751,0.062153512565751,0.062153512565751,0.062153512565751,970.0930669,coinmetrics-community,4.11497371,253620.51570017525,
2010-09-24,0.0622,0.0622,0.0622,0.0622,0.0622,42.6571,coinmetrics-community,4.07954667,254519.29,
2010-09-25,0.06202,0.06202,0.06202,0.06202,0.06202,133.05095,coinmetrics-community,4.03278411,254424.646,
2010-09-26,0.062,0.062,0.062,0.062,0.062,748.20160625,coinmetrics-community,4.00070639,254978.1,
2010-09-27,0.0622004418468732,0.0622004418468732,0.0622004418468732,0.0622004418468732,0.0622004418468732,668.5254443,coinmetrics-community,3.91751164,256514.62217650507,
2010-09-28,0.0619038977206312,0.0619038977206312,0.0619038977206312,0.0619038977206312,0.0619038977206312,439.04595529,coinmetrics-community,3.70318762,255947.85551572175,
2010-09-29,0.06191,0.06191,0.06191,0.06191,0.06191,1450.79045086,coinmetrics-community,3.67369778,256480.748,
2010-09-30,0.0619,0.0619,0.0619,0.0619,0.0619,488.14501265,coinmetrics-community,3.58697479,256891.19,
2010-10-01,0.0619733138515488,0.0619733138515488,0.0619733138515488,0.0619733138515488,0.0619733138515488,106.4618581,coinmetrics-community,3.57218676,257672.6443319696,
2010-10-02,0.0614,0.0614,0.0614,0.0614,0.0614,802.51667662,coinmetrics-community,3.26607208,255595.92,
2010-10-03,0.0610648684979544,0.0610648684979544,0.0610648684979544,0.0610648684979544,0.0610648684979544,439.88129455,coinmetrics-community,3.2380791,254573.3302811221,
2010-10-04,0.0612944769140853,0.0612944769140853,0.0612944769140853,0.0612944769140853,0.0612944769140853,2079.88766329,coinmetrics-community,3.23417646,255999.44755552296,
2010-10-05,0.0614,0.0614,0.0614,0.0614,0.0614,1699.19527154,coinmetrics-community,3.17003606,256826.99,
2010-10-06,0.06281,0.06281,0.06281,0.06281,0.06281,2091.2833326,coinmetrics-community,3.22421336,263261.834,
2010-10-07,0.067,0.067,0.067,0.067,0.067,2812.79229395,coinmetrics-community,3.40312006,281359.8,
2010-10-08,0.0844531081239041,0.0844531081239041,0.0844531081239041,0.0844531081239041,0.0844531081239041,10784.22974509,coinmetrics-community,4.14833833,355302.67118807696,
2010-10-09,0.0938,0.0938,0.0938,0.0938,0.0938,16104.87300711,coinmetrics-community,4.40766563,395367.0,
2010-10-10,0.0971462010520164,0.0971462010520164,0.0971462010520164,0.0971462010520164,0.0971462010520164,4889.34882748,coinmetrics-community,4.45879954,410335.8386236121,
2010-10-11,0.095,0.095,0.095,0.095,0.095,1395.228085,coinmetrics-community,4.28117529,402025.75,
2010-10-12,0.0949,0.0949,0.0949,0.0949,0.0949,2396.8167869,coinmetrics-community,4.2360293,402338.04,
2010-10-13,0.104865589129164,0.104865589129164,0.104865589129164,0.104865589129164,0.104865589129164,4558.5239107,coinmetrics-community,4.55044647,445510.96885634033,
2010-10-14,0.102,0.102,0.102,0.102,0.102,3701.64502755,coinmetrics-community,4.35844526,434382.3,
2010-10-15,0.105,0.105,0.105,0.105,0.105,2554.90521892,coinmetrics-community,4.34353862,448087.5,
2010-10-16,0.101,0.101,0.101,0.101,0.101,633.63076692,coinmetrics-community,4.06985428,432320.4,
2010-10-17,0.102,0.102,0.102,0.102,0.102,1857.80134986,coinmetrics-community,4.06277933,437977.8,
2010-10-18,0.1024,0.1024,0.1024,0.1024,0.1024,2591.6409552,coinmetrics-community,4.02994877,440970.24,
2010-10-19,0.0975448918760959,0.0975448918760959,0.0975448918760959,0.0975448918760959,0.0975448918760959,623.33733,coinmetrics-community,3.80761656,421311.0197466396,
2010-10-20,0.099,0.099,0.099,0.099,0.099,3221.08376,coinmetrics-community,3.8186494,428902.65,
2010-10-21,0.107,0.107,0.107,0.107,0.107,4616.851667,coinmetrics-community,4.00919854,464556.55,
2010-10-22,0.1025,0.1025,0.1025,0.1025,0.1025,3665.43402971,coinmetrics-community,3.82096178,445808.375,
2010-10-23,0.104556424313267,0.104556424313267,0.104556424313267,0.104556424313267,0.104556424313267,481.515121,coinmetrics-community,3.85485171,455667.3527996489,
2010-10-24,0.11501,0.11501,0.11501,0.11501,0.11501,1560.60996,coinmetrics-community,4.14384219,502403.9335,
2010-10-25,0.139118552893045,0.139118552893045,0.139118552893045,0.139118552893045,0.139118552893045,4450.000605,coinmetrics-community,4.88883386,609130.5838421975,
2010-10-26,0.151,0.151,0.151,0.151,0.151,2995.09142,coinmetrics-community,5.14523738,662973.05,
2010-10-27,0.1877,0.1877,0.1877,0.1877,0.1877,11594.017888,coinmetrics-community,6.05058402,826105.24,
2010-10-28,0.1731,0.1731,0.1731,0.1731,0.1731,4009.66975927,coinmetrics-community,5.2615273,763743.165,
2010-10-29,0.19,0.19,0.19,0.19,0.19,5380.4898858,coinmetrics-community,5.63366942,840427.0,
2010-10-30,0.197610543541789,0.197610543541789,0.197610543541789,0.197610543541789,0.197610543541789,5112.034034,coinmetrics-community,5.72124637,876580.6100970218,
2010-10-31,0.1925,0.1925,0.1925,0.1925,0.1925,7829.46048952,coinmetrics-community,5.43761091,855633.625,
2010-11-01,0.194525061367621,0.194525061367621,0.194525061367621,0.194525061367621,0.194525061367621,4049.753725,coinmetrics-community,5.41406405,866356.2658129736,
2010-11-02,0.1938,0.1938,0.1938,0.1938,0.1938,1121.3397176,coinmetrics-community,5.28311477,864832.5,
2010-11-03,0.1931,0.1931,0.1931,0.1931,0.1931,11769.61462949,coinmetrics-community,5.18370173,863543.2,
2010-11-04,0.229275160724722,0.229275160724722,0.229275160724722,0.229275160724722,0.229275160724722,6229.16344661,coinmetrics-community,5.7153824,1027622.7341262402,
2010-11-05,0.259112413793104,0.259112413793104,0.259112413793104,0.259112413793104,0.259112413793104,8757.148192,coinmetrics-community,6.25148898,1164192.0751724162,
2010-11-06,0.400982302746932,0.400982302746932,0.400982302746932,0.400982302746932,0.400982302746932,9396.96179627,coinmetrics-community,8.19405221,1805984.193341907,
2010-11-07,0.34,0.34,0.34,0.34,0.34,27937.74052692,coinmetrics-community,6.73312638,1535423.0,
2010-11-08,0.243184628872005,0.243184628872005,0.243184628872005,0.243184628872005,0.243184628872005,38339.26195402,coinmetrics-community,4.59520726,1101553.413401521,
2010-11-09,0.217272694330801,0.217272694330801,0.217272694330801,0.217272694330801,0.217272694330801,12808.30486113,coinmetrics-community,4.06257605,986537.5322437185,
2010-11-10,0.229549731151373,0.229549731151373,0.229549731151373,0.229549731151373,0.229549731151373,6110.1298337,coinmetrics-community,4.25825739,1044611.9615505531,
2010-11-11,0.2231,0.2231,0.2231,0.2231,0.2231,1111.550263,coinmetrics-community,4.10381259,1017704.115,
2010-11-12,0.2682,0.2682,0.2682,0.2682,0.2682,10494.46308814,coinmetrics-community,4.88620474,1225700.82,
2010-11-13,0.276,0.276,0.276,0.276,0.276,6351.5839966,coinmetrics-community,4.93212505,1264425.0,
2010-11-14,0.27904,0.27904,0.27904,0.27904,0.27904,4793.8131794,coinmetrics-community,4.88743661,1281895.808,
2010-11-15,0.268464555815313,0.268464555815313,0.268464555815313,0.268464555815313,0.268464555815313,2337.4988037,coinmetrics-community,4.51276218,1235997.3917459103,
2010-11-16,0.225,0.225,0.225,0.225,0.225,8609.6730792,coinmetrics-community,3.76028119,1038105.0,
2010-11-17,0.241939333722969,0.241939333722969,0.241939333722969,0.241939333722969,0.241939333722969,8662.60689971,coinmetrics-community,4.00641517,1119247.648702513,
2010-11-18,0.269057790765634,0.269057790765634,0.269057790765634,0.269057790765634,0.269057790765634,10253.2690408,coinmetrics-community,4.39720823,1248159.0913617762,
2010-11-19,0.27829,0.27829,0.27829,0.27829,0.27829,583.44613385,coinmetrics-community,4.48312449,1293074.485,
2010-11-20,0.283015964932788,0.283015964932788,0.283015964932788,0.283015964932788,0.283015964932788,4119.07125308,coinmetrics-community,4.49841005,1316675.1736568096,
2010-11-21,0.27675,0.27675,0.27675,0.27675,0.27675,212.67088,coinmetrics-community,4.36944711,1289461.275,
