date,open,high,low,close,adj_close,volume,source
2016-12-25,7.23,7.34,7.12,7.19,7.19,26438.83510247,coinbase-exchange
2016-12-26,7.18,7.33,7.02,7.26,7.26,26970.32002986,coinbase-exchange
2016-12-27,7.23,7.37,7.05,7.16,7.16,45356.90645935,coinbase-exchange
2016-12-28,7.15,7.72,7.05,7.62,7.62,98303.43480063,coinbase-exchange
2016-12-29,7.6,8.53,7.6,8.29,8.29,152526.66075647,coinbase-exchange
2016-12-30,8.3,8.52,8.01,8.21,8.21,66140.23918059,coinbase-exchange
2016-12-31,8.2,8.29,8.0,8.16,8.16,43418.8498603,coinbase-exchange
2017-01-01,8.16,8.6,8.08,8.18,8.18,59519.78894094,coinbase-exchange
2017-01-02,8.2,8.53,8.05,8.38,8.38,70490.23263029,coinbase-exchange
2017-01-03,8.38,10.02,8.24,9.59,9.59,193090.5325617,coinbase-exchange
2017-01-04,9.62,11.17,9.34,11.17,11.17,249702.49312189,coinbase-exchange
2017-01-05,11.13,11.8,9.08,10.23,10.23,318195.64966402,coinbase-exchange
2017-01-06,10.23,10.46,9.52,10.14,10.14,139579.01357529,coinbase-exchange
2017-01-07,10.14,10.21,9.55,9.92,9.92,68202.88241145,coinbase-exchange
2017-01-08,9.92,10.58,9.89,10.5,10.5,62882.92455958,coinbase-exchange
2017-01-09,10.5,10.94,10.23,10.39,10.39,71537.68592965,coinbase-exchange
2017-01-10,10.41,10.75,10.34,10.63,10.63,55080.01658617,coinbase-exchange
2017-01-11,10.63,10.84,9.47,9.95,9.95,156690.86721608,coinbase-exchange
2017-01-12,9.96,10.17,9.12,9.8,9.8,79647.24561381,coinbase-exchange
2017-01-13,9.81,9.91,9.51,9.84,9.84,77394.58240566,coinbase-exchange
2017-01-14,9.84,9.94,9.69,9.86,9.86,37283.35356003,coinbase-exchange
2017-01-15,9.86,10.05,9.8,9.9,9.9,27754.14426025,coinbase-exchange
2017-01-16,9.91,10.23,9.56,9.66,9.66,63109.15135822,coinbase-exchange
2017-01-17,9.66,10.53,9.65,10.34,10.34,70391.9885457,coinbase-exchange
2017-01-18,10.33,10.51,9.99,10.23,10.23,62955.27909693,coinbase-exchange
2017-01-19,10.24,10.5,10.18,10.42,10.42,47611.24661444,coinbase-exchange
2017-01-20,10.46,10.81,10.42,10.62,10.62,59455.01891867,coinbase-exchange
2017-01-21,10.65,11.06,10.58,10.93,10.93,60044.83210136,coinbase-exchange
2017-01-22,10.94,11.07,10.66,10.77,10.77,49893.01076167,coinbase-exchange
2017-01-23,10.77,10.85,10.65,10.8,10.8,35338.62281061,coinbase-exchange
2017-01-24,10.79,10.92,10.51,10.57,10.57,55179.70253114,coinbase-exchange
2017-01-25,10.57,10.66,10.43,10.55,10.55,41045.88754223,coinbase-exchange
2017-01-26,10.54,10.67,10.5,10.6,10.6,43444.18171844,coinbase-exchange
2017-01-27,10.61,10.64,10.42,10.55,10.55,45845.48034511,coinbase-exchange
2017-01-28,10.55,10.58,10.47,10.58,10.58,26322.92714156,coinbase-exchange
2017-01-29,10.58,10.58,10.46,10.49,10.49,19237.12895493,coinbase-exchange
2017-01-30,10.5,10.71,10.37,10.6,10.6,42007.88104909,coinbase-exchange
2017-01-31,10.59,10.79,10.58,10.7,10.7,40509.60288467,coinbase-exchange
2017-02-01,10.7,10.86,10.51,10.72,10.72,58400.82763664,coinbase-exchange
2017-02-02,10.73,10.86,10.62,10.82,10.82,48583.70326323,coinbase-exchange
2017-02-03,10.82,10.99,10.67,10.99,10.99,49696.94671619,coinbase-exchange
2017-02-04,10.99,11.45,10.98,11.41,11.41,89642.39949355,coinbase-exchange
2017-02-05,11.39,11.44,11.15,11.26,11.26,39382.95306944,coinbase-exchange
2017-02-06,11.27,11.42,11.22,11.34,11.34,47907.3447215,coinbase-exchange
2017-02-07,11.33,11.59,11.29,11.51,11.51,57274.01020311,coinbase-exchange
2017-02-08,11.51,11.65,11.15,11.41,11.41,88158.86526488,coinbase-exchange
2017-02-09,11.41,11.54,10.61,11.02,11.02,118356.17173816,coinbase-exchange
2017-02-10,11.02,11.48,10.88,11.43,11.43,69285.63535576,coinbase-exchange
2017-02-11,11.44,11.52,11.34,11.52,11.52,35280.52010547,coinbase-exchange
2017-02-12,11.51,11.54,11.4,11.5,11.5,23350.56327133,coinbase-exchange
2017-02-13,11.5,11.54,11.21,11.43,11.43,50130.29677266,coinbase-exchange
2017-02-14,11.42,14.7,11.39,13.14,13.14,260872.34248683,coinbase-exchange
2017-02-15,13.16,13.2,12.66,12.98,12.98,117752.61105449,coinbase-exchange
2017-02-16,12.98,13.03,12.62,12.89,12.89,89348.20727242,coinbase-exchange
2017-02-17,12.92,12.95,12.71,12.75,12.75,90714.24317995,coinbase-exchange
2017-02-18,12.77,12.93,12.77,12.89,12.89,45730.92082413,coinbase-exchange
2017-02-19,12.87,12.95,12.79,12.9,12.9,34815.25412059,coinbase-exchange
2017-02-20,12.9,12.95,12.56,12.61,12.61,70683.04381469,coinbase-exchange
2017-02-21,12.59,12.87,12.3,12.83,12.83,99099.33659705,coinbase-exchange
2017-02-22,12.83,12.99,12.68,12.75,12.75,83638.11582907,coinbase-exchange
2017-02-23,12.74,13.37,12.73,13.21,13.21,101645.2415701,coinbase-exchange
2017-02-24,13.22,13.33,12.81,13.2,13.2,141593.77689977,coinbase-exchange
2017-02-25,13.18,13.87,13.06,13.65,13.65,96882.62283402,coinbase-exchange
2017-02-26,13.64,14.84,13.4,14.74,14.74,100654.43777812,coinbase-exchange
2017-02-27,14.74,16.32,14.37,15.66,15.66,228006.55645929,coinbase-exchange
2017-02-28,15.66,16.94,15.21,16.4,16.4,345271.59116257,coinbase-exchange
2017-03-01,15.75,17.58,15.68,17.37,17.37,251745.10779028,coinbase-exchange
2017-03-02,17.46,19.99,16.88,19.27,19.27,353524.92611792,coinbase-exchange
2017-03-03,19.27,21.49,18.2,19.68,19.68,418297.89550869,coinbase-exchange
2017-03-04,19.61,20.4,18.65,18.65,18.65,150803.54752055,coinbase-exchange
2017-03-05,18.65,19.45,18.18,19.4,19.4,128246.54175649,coinbase-exchange
2017-03-06,19.39,20.24,19.17,19.68,19.68,141853.14193665,coinbase-exchange
2017-03-07,19.68,19.77,18.59,18.96,18.96,156651.35264277,coinbase-exchange
2017-03-08,18.96,18.96,16.65,16.68,16.68,280505.20713503,coinbase-exchange
2017-03-09,16.66,18.29,16.2,17.82,17.82,182292.81461265,coinbase-exchange
2017-03-10,17.81,19.7,17.01,19.2,19.2,309439.25716125,coinbase-exchange
2017-03-11,19.21,21.89,18.91,21.64,21.64,228815.88246844,coinbase-exchange
2017-03-12,21.67,24.25,21.33,23.39,23.39,263673.05636486,coinbase-exchange
2017-03-13,23.38,31.1,23.38,28.64,28.64,625354.24051185,coinbase-exchange
2017-03-14,28.63,30.0,27.16,28.69,28.69,226096.64753758,coinbase-exchange
2017-03-15,28.69,35.86,28.5,35.65,35.65,408524.96947696,coinbase-exchange
2017-03-16,35.66,47.03,35.65,45.96,45.96,732580.28886923,coinbase-exchange
2017-03-17,45.97,57.67,35.04,44.62,44.62,719985.84989644,coinbase-exchange
2017-03-18,44.62,45.0,30.7,33.64,33.64,569966.50109942,coinbase-exchange
2017-03-19,34.03,45.64,33.78,43.21,43.21,459232.39385515,coinbase-exchange
2017-03-20,43.21,45.25,40.86,42.31,42.31,229608.94221823,coinbase-exchange
2017-03-21,42.37,43.68,41.76,42.36,42.36,153385.24652058,coinbase-exchange
2017-03-22,42.39,42.59,38.26,41.37,41.37,215331.31154119,coinbase-exchange
2017-03-23,41.33,43.97,40.33,42.99,42.99,176283.58226551,coinbase-exchange
2017-03-24,42.92,53.44,42.5,52.93,52.93,412077.11150094,coinbase-exchange
2017-03-25,52.93,53.4,47.29,50.5,50.5,322875.49976772,coinbase-exchange
2017-03-26,50.61,51.5,48.51,50.73,50.73,139381.60730493,coinbase-exchange
2017-03-27,50.74,51.71,48.28,48.97,48.97,167954.10960827,coinbase-exchange
2017-03-28,48.97,50.44,48.51,50.3,50.3,148961.43460651,coinbase-exchange
2017-03-29,50.29,53.97,50.11,53.1,53.1,242696.94276526,coinbase-exchange
2017-03-30,53.11,53.34,51.52,51.88,51.88,133949.75343624,coinbase-exchange
2017-03-31,51.87,52.41,46.98,50.18,50.18,248184.61398357,coinbase-exchange
2017-04-01,50.17,51.85,48.85,50.71,50.71,90500.31838149,coinbase-exchange
2017-04-02,50.72,51.19,48.14,48.74,48.74,150244.53593327,coinbase-exchange
2017-04-03,48.74,48.97,42.39,44.25,44.25,324319.06028293,coinbase-exchange
2017-04-04,44.33,46.25,41.45,44.47,44.47,218472.02147232,coinbase-exchange
2017-04-05,44.45,47.63,44.2,44.78,44.78,153161.83660282,coinbase-exchange
2017-04-06,44.97,45.97,41.1,43.3,43.3,172306.59173301,coinbase-exchange
2017-04-07,43.31,44.64,41.57,42.32,42.32,106456.14070104,coinbase-exchange
2017-04-08,42.32,45.5,42.31,44.45,44.45,78801.726831,coinbase-exchange
